"Postal Code","Place Name","Province","Municipality","Latitude","Longitude"
0002,Pretoria,,,-25.7069,28.2294
0003,Pretoria,,,-25.7069,28.2294
0004,Pretoria,,,-25.7069,28.2294
0005,Pretoria,,,-25.7069,28.2294
0006,Pretoria,,,-25.7069,28.2294
0007,Pretoria,,,-25.7069,28.2294
0008,Atteridgeville,,,-25.7728,28.0678
0008,Pretoria,,,-25.7069,28.2294
0009,Pretoria,,,-25.7069,28.2294
0010,Glenstantia,,,-25.7069,28.2294
0010,Pretoria,,,-25.7069,28.2294
0011,Pretoria,,,-25.7069,28.2294
0012,Pretoria,,,-25.7069,28.2294
0014,Pretoria,,,-25.7069,28.2294
0014,Centurion,,,-25.7069,28.2294
0016,Pretoria,,,-25.7069,28.2294
0017,Pretoria,,,-25.7069,28.2294
0017,Doornpoort,,,-25.6333,28.2667
0018,Pretoria,,,-25.7069,28.2294
0019,Pretoria,,,-25.7069,28.2294
0020,Pretoria,,,-25.7069,28.2294
0021,Pretoria,,,-25.7069,28.2294
0022,Eersterus,,,-25.7236,28.3194
0022,Pretoria,,,-25.7069,28.2294
0023,Pretoria,,,-25.7069,28.2294
0024,Pretoria,,,-25.7069,28.2294
0025,Pretoria,,,-25.7069,28.2294
0026,Pretoria,,,-25.7069,28.2294
0027,Pretoria,,,-25.7069,28.2294
0028,Pretoria,,,-25.7069,28.2294
0029,Philip Nel Park,,,-25.7069,28.2294
0029,Pretoria,,,-25.7069,28.2294
0030,Pretoria,,,-25.7069,28.2294
0031,Pretoria,,,-25.7069,28.2294
0032,Pretoria,,,-25.7069,28.2294
0033,Pretoria,,,-25.7069,28.2294
0035,Derdepoortpark,,,-25.7069,28.2294
0035,Pretoria,,,-25.7069,28.2294
0036,Pretoria,,,-25.7069,28.2294
0037,Laudium,,,-25.7833,28.1
0037,Pretoria,,,-25.7069,28.2294
0039,Pretoria,,,-25.7069,28.2294
0040,Menlo Park,,,-25.7711,28.3078
0041,Pretoria,,,-25.7069,28.2294
0042,Menlo Park,,,-25.7711,28.3078
0042,Garsfontein,,,-25.8008,28.2956
0043,Faerie Glen,,,-30.85,30.3333
0043,Pretoria,,,-25.7069,28.2294
0044,Moreletapark,,,-25.7069,28.2294
0044,Pretoria,,,-25.7069,28.2294
0045,Pretoria,,,-25.7069,28.2294
0046,Centurion,,,-25.8744,28.1706
0047,Pretoria,,,-25.7069,28.2294
0048,Pretoria,,,-25.7069,28.2294
0049,Pretoria,,,-25.7069,28.2294
0050,Wapadrand,,,-25.7069,28.2294
0050,Pretoria,,,-25.7069,28.2294
0051,Lyttelton,,,-25.8333,28.2167
0051,Centurion,,,-25.8744,28.1706
0052,Pretoria,,,-25.7069,28.2294
0053,Pretoria,,,-25.7069,28.2294
0054,Pretoria,,,-25.7069,28.2294
