"LegacyClass","PocoName","PocoExists","RepoName","RepoExists","TotalMethods","InsertMethods","UpdateMethods","DeleteMethods","GetMethods","CustomMethods","CustomMethodNames","Priority"
"AreaPrepDaysTbl","AreaPrepDays","YES","AreaPrepDaysRepository","YES","4","1","2","1","0","0","","LOW"
"ClientUsageLinesTbl","ContactsUsage","NO","ContactsUsageRepository","YES","4","1","1","0","2","0","","LOW"
"ClientUsageTbl","ContactsItemsPredicted","NO","ContactsItemsPredictedRepository","NO","6","0","2","0","2","2","UsageDataExists; ForceNextCoffeeDate","HIGH"
"CustomersAccInfoTbl","ContactsAccInfo","YES","ContactsAccInfoRepository","YES","8","1","2","2","3","0","","LOW"
"CustomersAwayTbl","ContactsAwayPeriod","YES","ContactsAwayPeriodRepository","YES","5","1","1","1","1","1","IsCustomerAwayOnDate","MEDIUM"
"CustomersTbl","Contact","YES","ContactsRepository","YES","16","2","1","0","4","9","SetEquipDetailsIfEmpty; IncrementReminderCount; SetSentReminderAndIncrementReminderCount; ResetReminderCount; DisableCustomer; DisableCustomer; DisableCustomerReminders; DisableCustomerIfReminderToHigh; ResetReminderCount","MEDIUM"
"CustomersWithDatesAndUsageTbl","ContactsWithDatesAndUsage","NO","ContactsWithDatesAndUsageRepository","NO","1","0","0","0","1","0","","HIGH"
"CustomerTypeTbl","ContactType","YES","ContactTypesRepository","YES","0","0","0","0","0","0","","LOW"
"DeliveryItemsTbl","DeliveryItems","YES","DeliveryItemsRepository","NO","0","0","0","0","0","0","","HIGH"
"EquipTypeTbl","EquipType","YES","EquipTypesRepository","YES","3","2","0","0","1","0","","LOW"
"InvoiceTypeTbl","InvoiceType","YES","InvoiceTypesRepository","YES","5","1","2","2","0","0","","LOW"
"ItemGroupTbl","ItemGroup","YES","ItemGroupsRepository","YES","17","1","3","3","6","4","IncItemSortPos; IncItemSortPos; DecItemSortPos; DecItemSortPos","MEDIUM"
"ItemTypeTbl","Item","YES","ItemsRepository","YES","11","1","2","1","6","1","GroupOfThisNameExists","MEDIUM"
"ItemUnitsTbl","System.Object[]","YES","ItemUnit ItemUnitsRepository","NO","0","0","0","0","0","0","","HIGH"
"ItemUsageTbl","ContactsItemUsage","YES","ContactsItemUsageRepository","YES","6","1","3","1","1","0","","LOW"
"LogTbl","Log","YES","LogRepository","NO","3","2","0","0","0","1","AddToWhatsChanged","HIGH"
"MachineConditionsTbl","EquipCondition","YES","EquipConditionsRepository","YES","0","0","0","0","0","0","","LOW"
"NextPrepDateByAreaTbl","NextPrepDateByArea","YES","NextPrepDateByAreaRepository","NO","6","1","2","0","2","1","MoveDeliveryDate","HIGH"
"OrderCheckTbl","OrderCheck","YES","OrderCheckRepository","NO","1","0","0","0","0","1","HasCoffeeOrdersInDateRange","HIGH"
"OrderItemTbl","OrderItem","YES","OrderItemRepository","NO","1","0","1","0","0","0","","HIGH"
"OrderTbl","Order","YES","OrdersRepository","YES","9","1","5","1","2","0","","LOW"
"PackagingTbl","ItemPackaging","YES","ItemPackagingsRepository","YES","3","1","1","0","1","0","","LOW"
"PaymentTermsTbl","System.Object[]","YES","PaymentTerm PaymentTermsRepository","NO","6","1","2","2","1","0","","HIGH"
"PersonsTbl","System.Object[]","YES","PersonsRepository","YES","6","1","0","1","0","4","IsNormalDeliveryDoW; PersonsIDoFSecurityUsers; PersonsIDFromAbbreviation; PersonsNameFromID","MEDIUM"
"PriceLevelsTbl","System.Object[]","YES","PriceLevel PriceLevelsRepository","NO","6","1","2","2","1","0","","HIGH"
"ReoccuranceTypeTbl","RecurranceType","YES","RecurranceTypeRepository","NO","0","0","0","0","0","0","","HIGH"
"ReoccuringOrderTbl","RecurringOrder","YES","RecurringOrdersRepository","YES","0","0","0","0","0","0","","LOW"
"RepairFaultsTbl","System.Object[]","YES","RepairFault RepairFaultsRepository","NO","1","0","0","0","1","0","","HIGH"
"RepairStatusesTbl","RepairStatuses","YES","RepairStatusesRepository","YES","5","1","1","1","2","0","","LOW"
"RepairsTbl","System.Object[]","YES","Repair RepairsRepository","NO","6","1","2","1","2","0","","HIGH"
"SectionTypesTbl","System.Object[]","YES","SectionType SectionTypesRepository","NO","3","2","0","0","1","0","","HIGH"
"SentRemindersLogTbl","SentRemindersLog","YES","SentRemindersLogRepository","NO","6","1","1","2","2","0","","HIGH"
"ServiceTypeTbl","ServiceType","YES","ServiceTypesRepository","YES","1","0","0","0","1","0","","LOW"
"SysDataTbl","SysData","YES","SysDataRepository","YES","4","0","2","0","2","0","","LOW"
"TempOrdersHeaderTbl","TempOrdersHeader","YES","TempOrdersHeaderRepository","NO","4","1","0","1","2","0","","HIGH"
"TempOrdersLinesTbl","System.Object[]","YES","TempOrdersLine TempOrdersLinesRepository","NO","3","1","0","2","0","0","","HIGH"
"TrackedServiceItemTbl","TrackedServiceItem","YES","TrackedServiceItemRepository","NO","0","0","0","0","0","0","","HIGH"
"TransactionTypesTbl","System.Object[]","YES","TransactionType TransactionTypesRepository","NO","3","2","0","0","1","0","","HIGH"
"UsedItemGroupTbl","UsedItemGroup","YES","UsedItemGroupRepository","NO","10","1","3","2","2","2","ContactLastGroupItem; ChangeItemIDToGroupIfItWas","HIGH"
