Table Migration report: 16 Oct 2025,,,,,,,,,,,,,,,,,,,,,
================================,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ArchivedCustomersTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,ArichivedOrdersTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,LogTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,OrderList,n/a,Ignore,,,,,,,,,,,,,,,,,,
,OrdersTbl_Apr26_2008,n/a,Ignore,,,,,,,,,,,,,,,,,,
,PredictedOrdersTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,tmpOrdersReplyTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,UsageAveTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,UsageTblByDate,n/a,Ignore,,,,,,,,,,,,,,,,,,
,VisitLogTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,WeekDaysTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
,_ClientUsageTbl,n/a,Ignore,,,,,,,,,,,,,,,,,,
Rows:,None ignored,,,,,,,,,,,,,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,AwayReasonTbl,AwayReasonTbl,Copy,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,AwayReasonID,INT,No,No,--/--,AwayReasonID,INT,PK,Yes,Yes,n/a,Copy,AwayReasonID,,,,,,,,
,ReasonDesc,NVARCHAR(100),No,No,--/--,ReasonDesc,NVARCHAR(100),No,No,Yes,n/a,Copy,ReasonDesc,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CityPrepDaysTbl,AreaPrepDaysTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CityPrepDaysID,INT,No,No,--/--,AreaPrepDaysID,INT,PK,Yes,Yes,n/a,Rename,CityPrepDaysID,,,,,,,,
,CityID,INT,No,No,--/--,AreaID,INT,FK (AreasTbl),No,No,n/a,Rename,CityID,,,,,,,,
,PrepDayOfWeekID,TINYINT,No,No,--/--,PrepDayOfWeekID,TINYINT,No,No,No,n/a,Rename,PrepDayOfWeekID,,,,,,,,
,DeliveryDelayDays,SMALLINT,No,No,--/--,DeliveryDelayDays,SMALLINT,No,No,No,n/a,Copy,DeliveryDelayDays,,,,,,,,
,DeliveryOrder,SMALLINT,No,No,--/--,DeliveryOrder,SMALLINT,No,No,No,n/a,Copy,DeliveryOrder,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CityTbl,AreasTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,ID,INT,No,No,--/--,AreaID,INT,PK,Yes,No,n/a,Rename,ID,,,,,,,,
,City,NVARCHAR(255),No,No,--/--,Area,NVARCHAR(255),No,No,No,n/a,Rename,City,,,,,,,,
,RoastingDay,INT,No,No,--/--,PrepDayOfWeekID,INT,No,No,No,n/a,Rename,RoastingDay,,,,,,,,
,DeliveryDelay,INT,No,No,--/--,DeliveryDelay,INT,No,No,No,n/a,Rename,DeliveryDelay,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ClientAwayPeriodTbl,ContactAwayPeriodTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,AwayPeriodID,INT,No,No,--/--,AwayPeriodID,INT,PK,Yes,No,n/a,Copy,AwayPeriodID,,,,,,,,
,ClientID,INT,No,No,--/--,ContactID,INT,FK (ContactsTbl),No,No,n/a,Rename,ClientID,,,,,,,,
,AwayStartDate,DATETIME,No,No,--/--,AwayStartDate,DATETIME,No,No,No,n/a,Copy,AwayStartDate,,,,,,,,
,AwayEndDate,DATETIME,No,No,--/--,AwayEndDate,DATETIME,No,No,No,n/a,Copy,AwayEndDate,,,,,,,,
,ReasonID,INT,No,No,--/--,ReasonID,INT,No,No,No,n/a,Copy,ReasonID,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ClientUsageHistoryTbl,ContactHistoryAndPredictionTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,HistoryID,INT,No,No,--/--,HistoryID,INT,PK,Yes,No,n/a,Copy,HistoryID,,,,,,,,
,CustomerId,INT,No,No,--/--,ContactID,INT,FK (ContactsTbl),No,No,n/a,Rename,CustomerId,,,,,,,,
,ItemDate,DATETIME,No,No,--/--,ItemDate,DATETIME,No,No,No,n/a,Copy,ItemDate,,,,,,,,
,LastCupCount,INT,No,No,--/--,LastCount,INT,No,No,No,n/a,Rename,LastCupCount,,,,,,,,
,NextCoffeeBy,DATETIME,No,No,--/--,NextConsumableBy,DATETIME,No,No,No,n/a,Rename,NextCoffeeBy,,,,,,,,
,NextCleanOn,DATETIME,No,No,--/--,NextCleanOn,DATETIME,No,No,No,n/a,Copy,NextCleanOn,,,,,,,,
,NextFilterEst,DATETIME,No,No,--/--,NextFilterEst,DATETIME,No,No,No,n/a,Copy,NextFilterEst,,,,,,,,
,NextDescaleEst,DATETIME,No,No,--/--,NextDescaleEst,DATETIME,No,No,No,n/a,Copy,NextDescaleEst,,,,,,,,
,NextServiceEst,DATETIME,No,No,--/--,NextServiceEst,DATETIME,No,No,No,n/a,Copy,NextServiceEst,,,,,,,,
,DailyConsumption,REAL,No,No,--/--,DailyConsumption,REAL,No,No,No,n/a,Copy,DailyConsumption,,,,,,,,
,FilterAveCount,REAL,No,No,--/--,FilterAveCount,REAL,No,No,No,n/a,Copy,FilterAveCount,,,,,,,,
,DescaleAveCount,REAL,No,No,--/--,DescaleAveCount,REAL,No,No,No,n/a,Copy,DescaleAveCount,,,,,,,,
,ServiceAveCount,REAL,No,No,--/--,ServiceAveCount,REAL,No,No,No,n/a,Copy,ServiceAveCount,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ClientUsageLinesTbl,ContactUsageLinesTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,ClientUsageLineNo,INT,No,No,--/--,ContactUsageLineNo,INT,PK,Yes,No,n/a,Rename,ClientUsageLineNo,,,,,,,,
,CustomerID,INT,No,No,--/--,ContactID,INT,FK (ContactsTbl),No,No,n/a,Rename,CustomerID,,,,,,,,
,Date,DATETIME,No,No,--/--,UsageDate,DATETIME,No,No,No,n/a,Rename,Date,,,,,,,,
,CupCount,INT,No,No,--/--,CupCount,INT,No,No,No,n/a,Copy,CupCount,,,,,,,,
,ServiceTypeId,INT,No,No,--/--,ItemServiceTypeID,INT,FK (ItemServiceTypesTbl),No,No,n/a,Rename,ServiceTypeId,,,,,,,,
,Qty,REAL,No,No,--/--,Qty,REAL,No,No,No,n/a,Copy,Qty,,,,,,,,
,Notes,NVARCHAR(150),No,No,--/--,Notes,NVARCHAR(150),No,No,No,n/a,Copy,Notes,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ClientUsageTbl,ContactUsageTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CustomerId,INT,No,No,--/--,ContactID,INT,PK,Yes,No,n/a,Rename,CustomerId,,,,,,,,
,LastCupCount,INT,No,No,--/--,LastCupCount,INT,No,No,No,n/a,Copy,LastCupCount,,,,,,,,
,NextCoffeeBy,DATETIME,No,No,--/--,NextCoffeeBy,DATETIME,No,No,No,n/a,Copy,NextCoffeeBy,,,,,,,,
,NextCleanOn,DATETIME,No,No,--/--,NextCleanOn,DATETIME,No,No,No,n/a,Copy,NextCleanOn,,,,,,,,
,NextFilterEst,DATETIME,No,No,--/--,NextFilterEst,DATETIME,No,No,No,n/a,Copy,NextFilterEst,,,,,,,,
,NextDescaleEst,DATETIME,No,No,--/--,NextDescaleEst,DATETIME,No,No,No,n/a,Copy,NextDescaleEst,,,,,,,,
,NextServiceEst,DATETIME,No,No,--/--,NextServiceEst,DATETIME,No,No,No,n/a,Copy,NextServiceEst,,,,,,,,
,DailyConsumption,REAL,No,No,--/--,DailyConsumption,REAL,No,No,No,n/a,Copy,DailyConsumption,,,,,,,,
,FilterAveCount,REAL,No,No,--/--,FilterAveCount,REAL,No,No,No,n/a,Copy,FilterAveCount,,,,,,,,
,DescaleAveCount,REAL,No,No,--/--,DescaleAveCount,REAL,No,No,No,n/a,Copy,DescaleAveCount,,,,,,,,
,ServiceAveCount,REAL,No,No,--/--,ServiceAveCount,REAL,No,No,No,n/a,Copy,ServiceAveCount,,,,,,,,
,CleanAveCount,REAL,No,No,--/--,CleanAveCount,REAL,No,No,No,n/a,Copy,CleanAveCount,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,ClosureDatesTbl,ClosureDatesTbl,Copy,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,ID,INT,No,No,--/--,ClosureDateID,INT,PK,Yes,No,n/a,Rename,ID,,,,,,,,
,DateClosed,DATETIME,No,No,--/--,DateClosed,DATETIME,No,No,No,n/a,Copy,DateClosed,,,,,,,,
,DateReopen,DATETIME,No,No,--/--,DateReopen,DATETIME,No,No,No,n/a,Copy,DateReopen,,,,,,,,
,NextRoastDate,DATETIME,No,No,--/--,NextPrepDate,DATETIME,No,No,No,n/a,Rename,NextRoastDate,,,,,,,,
,Comments,NVARCHAR(255),No,No,--/--,Comments,NVARCHAR(255),No,No,No,n/a,Copy,Comments,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CustomersAccInfoTbl,ContactAccInfoTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CustomersAccInfoID,INT,No,No,--/--,ContactsAccInfoID,INT,PK,Yes,No,n/a,Rename,CustomersAccInfoID,,,,,,,,
,CustomerID,INT,No,No,--/--,ContactID,INT,FK (ContactsTbl),No,No,n/a,Rename,CustomerID,,,,,,,,
,RequiresPurchOrder,BIT,No,No,--/--,RequiresPurchOrder,BIT,No,No,No,n/a,Copy,RequiresPurchOrder,,,,,,,,
,CustomerVATNo,NVARCHAR(30),No,No,--/--,ContactVATNo,NVARCHAR(30),No,No,No,n/a,Rename,CustomerVATNo,,,,,,,,
,BillAddr1,NVARCHAR(50),No,No,--/--,BillAddr1,NVARCHAR(50),No,No,No,n/a,Copy,BillAddr1,,,,,,,,
,BillAddr2,NVARCHAR(50),No,No,--/--,BillAddr2,NVARCHAR(50),No,No,No,n/a,Copy,BillAddr2,,,,,,,,
,BillAddr3,NVARCHAR(50),No,No,--/--,BillAddr3,NVARCHAR(50),No,No,No,n/a,Copy,BillAddr3,,,,,,,,
,BillAddr4,NVARCHAR(50),No,No,--/--,BillAddr4,NVARCHAR(50),No,No,No,n/a,Copy,BillAddr4,,,,,,,,
